"ID","AGE","EDUC","DEGREE","SEX","RACE","BIBLE1"
850,64,14,1,1,1,"."
851,87,10,0,2,1,"2"
852,59,12,1,2,1,"2"
853,78,8,0,2,1,"1"
854,50,13,1,2,1,"3"
855,50,16,3,2,1,"."
856,72,16,3,2,1,"."
857,53,14,2,1,1,"2"
858,63,16,3,1,1,"."
859,72,16,1,2,1,"3"
860,46,16,3,2,1,"."
861,34,20,4,1,1,"2"
862,52,15,1,1,1,"."
865,64,8,0,2,1,"."
866,75,14,2,1,1,"1"
867,21,14,1,2,1,"3"
868,35,12,1,2,2,"."
870,60,14,1,2,1,"."
871,36,17,3,2,1,"."
872,30,14,1,2,1,"2"
873,38,14,1,2,1,"."
874,41,18,4,1,1,"."
875,69,12,1,2,1,"."
876,52,18,4,2,1,"."
877,31,16,3,2,1,"."
878,55,17,4,1,1,"."
879,47,18,4,2,1,"9"
880,30,10,1,2,1,"3"
881,86,13,1,2,1,"."
882,56,16,3,1,1,"2"
883,40,13,1,2,2,"1"
884,79,12,1,2,1,"."
885,33,12,1,2,1,"."
886,61,4,0,1,1,"3"
887,26,16,3,2,1,"."
888,42,13,1,2,2,"1"
890,58,17,4,1,1,"3"
891,68,12,1,2,2,"."
892,66,14,1,2,2,"."
893,66,12,1,2,2,"."
894,61,12,1,2,2,"1"
895,75,11,0,2,2,"."
896,41,16,3,2,2,"1"
897,25,14,1,2,2,"."
898,29,12,1,2,3,"."
899,44,14,2,1,3,"."
900,28,16,2,2,3,"."
901,57,0,0,2,3,"2"
902,78,12,1,1,1,"."
903,65,14,1,1,1,"3"
904,57,14,1,1,3,"2"
905,69,18,4,1,3,"."
906,49,16,3,1,1,"."
907,44,16,3,2,3,"1"
908,36,14,1,1,3,"2"
909,54,14,2,2,3,"2"
910,36,13,1,2,1,"2"
911,57,12,1,2,1,"1"
912,22,16,3,2,1,"."
914,28,14,2,1,2,"."
915,60,20,4,1,1,"."
916,45,19,4,2,1,"2"
918,63,20,4,1,1,"1"
919,64,18,4,2,1,"."
920,48,16,3,2,1,"."
921,63,13,1,1,1,"."
923,40,14,1,1,1,"1"
924,85,17,4,1,1,"3"
925,64,20,4,1,1,"."
928,36,16,3,1,1,"."
932,48,13,2,1,1,"."
935,31,15,2,2,1,"2"
936,23,15,0,1,1,"."
937,35,12,1,2,3,"1"
939,51,15,1,1,1,"."
940,55,12,1,2,1,"3"
942,56,13,1,2,1,"."
943,40,12,1,2,1,"."
944,50,12,1,2,1,"."
945,48,14,1,2,1,"."
947,35,12,0,1,1,"."
948,28,13,1,1,1,"2"
949,50,13,1,1,1,"8"
950,47,12,1,2,1,"."
952,44,18,4,1,1,"."
953,56,15,1,1,1,"2"
954,67,12,1,1,1,"."
955,73,11,0,2,1,"."
956,43,16,4,1,1,"2"
957,30,10,1,1,1,"."
958,27,17,3,2,1,"."
959,25,14,2,2,1,"3"
960,40,16,3,1,1,"1"
961,25,16,3,2,1,"."
963,26,14,1,1,2,"2"
964,55,11,0,2,1,"1"
965,25,16,1,2,1,"."
966,55,12,1,2,1,"."
967,23,12,1,1,1,"."
968,39,12,1,2,1,"."
969,34,12,1,1,1,"1"
970,70,12,1,2,1,"."
971,37,16,3,2,1,"1"
972,40,12,1,2,1,"1"
973,48,16,3,1,1,"2"
974,87,12,1,2,1,"3"
975,74,16,3,2,1,"."
976,64,18,3,2,1,"."
977,52,13,1,2,1,"3"
978,26,16,3,1,1,"."
979,51,14,1,2,1,"3"
980,39,17,1,2,1,"3"
981,52,17,3,1,1,"."
982,52,14,1,1,1,"1"
983,38,16,3,2,1,"."
984,47,20,3,2,1,"2"
985,73,14,1,2,1,"."
986,34,18,4,1,1,"."
987,32,14,1,2,1,"."
988,37,12,1,1,1,"."
989,74,20,3,1,1,"2"
990,66,15,1,2,1,"2"
992,45,16,3,2,1,"2"
993,47,12,0,1,1,"3"
994,34,14,2,2,2,"."
995,25,12,1,2,2,"."
996,47,11,0,2,2,"1"
997,32,14,1,2,2,"."
999,19,11,0,2,2,"."
1000,36,19,4,1,1,"."
1001,65,20,4,2,1,"."
1002,19,13,1,2,2,"1"
1003,29,20,4,1,3,"8"
1004,49,16,3,1,1,"3"
1005,56,20,4,1,2,"."
1006,63,12,1,2,1,"2"
1007,51,15,1,1,1,"."
1010,80,16,3,2,1,"3"
1012,85,8,0,2,1,"."
1013,84,14,2,1,1,"9"
1014,88,12,1,1,1,"2"
1015,28,12,1,2,1,"."
1016,37,12,1,1,1,"2"
1017,78,13,1,2,1,"."
1018,20,13,1,1,1,"."
1021,44,15,2,2,1,"2"
1023,34,12,1,1,1,"."
1024,51,16,3,1,1,"2"
1025,36,12,1,1,1,"1"
1026,23,16,3,1,1,"."
1028,48,12,1,1,1,"1"
1029,56,12,1,2,1,"2"
1030,34,18,3,1,1,"2"
1032,25,12,1,1,1,"2"
1033,64,13,1,2,1,"2"
1034,52,16,3,2,1,"."
1036,69,20,4,1,1,"."
1037,32,18,4,2,1,"."
1038,52,16,3,1,1,"2"
1041,77,19,4,1,1,"."
1042,44,13,1,1,1,"."
1043,41,15,1,2,1,"."
1044,27,20,4,2,1,"3"
1045,33,20,3,2,1,"3"
1046,68,9,0,2,1,"2"
1049,38,12,1,1,1,"."
1050,32,20,4,2,2,"."
1051,27,17,3,2,1,"2"
1052,72,13,1,2,1,"2"
1053,34,18,4,1,1,"1"
1054,34,14,2,2,1,"."
1055,38,16,3,2,1,"."
1056,69,12,1,2,1,"2"
1057,45,18,4,1,1,"2"
1058,59,12,1,1,1,"2"
1059,82,18,4,2,1,"2"
1060,60,12,1,2,1,"2"
1061,60,16,3,1,1,"."
1062,81,18,4,2,1,"2"
1063,83,12,1,2,1,"."
1065,49,14,2,2,1,"."
1067,81,16,3,1,1,"."
1068,52,14,1,2,1,"."
1069,51,14,1,2,1,"2"
1070,62,17,4,1,1,"."
1072,26,15,1,2,1,"."
1073,42,14,2,1,1,"."
1074,50,16,3,2,1,"3"
1075,35,16,3,2,1,"3"
1077,42,16,3,2,1,"."
1078,41,12,1,2,1,"1"
1079,33,14,1,2,3,"2"
1081,27,18,3,1,1,"."
1084,52,16,3,2,1,"."
1085,23,14,1,1,1,"2"
1086,39,12,1,2,1,"2"
1087,41,16,3,2,1,"."
1088,49,16,3,2,1,"2"
1090,41,10,0,2,1,"2"
1091,89,12,1,2,1,"."
1092,40,16,3,2,1,"."
1093,52,17,4,2,1,"."
1094,25,18,4,1,1,"2"
1095,37,12,1,2,1,"."
1096,31,14,2,1,1,"2"
1097,75,11,0,1,1,"1"
1098,56,12,1,2,1,"."
1099,27,14,2,1,1,"2"
1100,44,14,1,1,1,"."
1101,36,15,1,2,1,"2"
1103,68,12,1,2,1,"."
1104,82,16,3,2,1,"2"
1105,66,12,1,2,1,"2"
1106,47,12,1,2,1,"1"
1107,44,16,3,2,2,"."
1108,50,15,2,1,2,"."
1109,49,13,1,1,1,"."
1110,55,12,1,1,1,"."
1111,33,13,1,2,1,"."
1112,32,14,1,1,1,"2"
1113,55,14,1,2,1,"."
1114,46,9,0,1,1,"."
1115,54,8,0,2,1,"1"
1118,34,12,1,2,1,"2"
1119,56,13,1,2,1,"."
1120,48,12,1,1,1,"."
1121,57,16,3,1,1,"."
1122,51,14,2,1,1,"."
1124,36,13,1,1,2,"1"
1125,74,16,2,1,1,"1"
1126,41,12,1,2,1,"2"
1127,46,11,1,2,1,"2"
1128,60,14,2,2,1,"2"
1130,58,12,1,2,1,"."
1132,78,12,1,2,1,"1"
1134,43,12,1,2,1,"."
1135,49,15,1,2,1,"2"
1136,31,14,1,2,1,"."
1137,54,13,1,1,1,"."
1138,79,11,0,2,1,"1"
1139,85,8,0,1,1,"3"
1140,37,15,2,2,1,"2"
1141,72,11,0,1,1,"."
1142,25,13,1,2,1,"."
1143,67,17,3,1,1,"."
1144,21,14,1,2,1,"."
1145,43,13,1,2,1,"3"
1146,27,17,4,2,1,"."
1147,36,12,0,1,1,"."
1148,35,16,3,2,1,"."
1149,89,12,1,2,1,"."
1150,62,9,0,1,1,"."
1151,81,13,1,2,1,"."
1152,80,12,1,1,1,"."
1153,53,18,4,2,1,"."
1154,52,14,2,1,1,"1"
1155,27,16,3,2,1,"."
1156,43,12,1,2,1,"2"
1157,38,14,1,1,1,"2"
1158,18,13,1,2,1,"3"
1159,36,14,1,1,1,"1"
1160,22,16,3,2,1,"."
1161,56,12,1,2,1,"2"
1162,74,12,1,1,1,"."
1163,38,13,1,2,1,"2"
1164,18,11,0,1,1,"2"
1165,62,12,1,1,1,"2"
1166,26,14,1,2,1,"2"
1167,47,15,2,2,1,"."
1168,29,13,1,2,1,"1"
1169,65,18,4,1,1,"."
1170,71,12,1,2,1,"1"
1171,81,8,0,2,1,"2"
1172,74,12,1,1,1,"."
1173,51,15,2,2,1,"."
1174,28,11,1,1,1,"."
1176,73,12,1,2,2,"."
1177,60,13,1,1,2,"."
1178,20,12,1,2,1,"1"
1180,57,12,1,2,1,"."
1181,38,12,1,2,1,"2"
1182,88,12,1,2,1,"2"
1184,57,16,2,2,1,"."
1185,32,16,3,1,1,"."
1186,33,18,4,2,1,"2"
1189,63,12,1,2,1,"."
1190,24,14,2,2,1,"2"
1191,46,12,1,2,1,"."
1192,34,11,0,2,1,"1"
1193,18,12,1,2,1,"."
1194,37,13,1,2,1,"."
1195,37,18,4,1,1,"."
1197,36,13,1,1,1,"2"
1198,33,14,1,2,1,"."
1199,46,13,0,1,1,"2"
1200,26,12,1,2,1,"1"
1202,34,14,2,2,1,"."
1203,37,14,1,1,1,"2"
1204,62,12,1,2,1,"."
1205,58,12,1,2,1,"."
1206,44,11,0,2,1,"1"
1209,34,20,4,2,1,"2"
1210,37,12,1,2,1,"1"
1211,50,17,3,1,1,"2"
1212,31,15,2,2,1,"2"
1214,40,14,2,1,1,"3"
1215,54,12,1,1,1,"3"
1216,40,12,1,1,1,"2"
1217,24,16,3,2,1,"."
1218,82,11,0,2,1,"2"
1221,36,14,1,2,1,"."
1223,40,10,1,2,3,"2"
1224,32,12,1,1,1,"."
1225,44,12,1,2,1,"."
1226,23,12,1,2,1,"1"
1227,27,17,3,2,1,"."
1228,55,12,1,2,1,"."
1229,18,12,1,2,1,"3"
1230,59,12,1,1,1,"."
1231,39,12,0,1,1,"3"
1233,81,12,1,1,1,"2"
1234,44,16,3,2,1,"."
1235,46,16,3,1,1,"."
1236,26,12,1,2,1,"1"
1237,20,13,1,2,1,"."
1239,78,2,0,2,3,"."
1240,40,10,0,2,1,"8"
1241,25,12,1,2,2,"."
1242,36,12,1,2,1,"1"
1244,41,16,3,2,1,"."
1245,45,12,1,1,1,"2"
1246,48,12,1,2,1,"."
1247,46,16,3,2,1,"."
1249,27,18,4,2,3,"2"
1250,83,8,0,2,1,"2"
1251,44,16,3,2,1,"1"
1252,32,16,3,2,1,"."
1253,22,12,1,1,1,"."
1254,40,18,4,1,1,"3"
1255,37,20,4,1,1,"2"
1256,36,18,4,1,1,"."
1257,28,12,1,2,1,"1"
1258,55,16,3,1,1,"."
1259,46,14,2,2,2,"."
1260,68,12,1,2,1,"1"
1261,31,15,1,2,1,"."
1262,78,17,3,1,1,"."
1263,56,16,3,1,1,"2"
1264,62,12,1,2,1,"."
1265,48,12,1,1,1,"2"
1266,80,11,0,2,1,"1"
1267,74,12,1,2,1,"2"
1268,38,12,1,2,1,"."
1269,58,12,1,2,1,"2"
1270,52,13,1,1,1,"2"
1272,60,16,3,2,1,"."
1273,38,13,1,2,1,"."
1274,43,12,1,2,2,"."
1275,70,9,0,2,1,"."
1276,46,12,1,2,1,"1"
1277,38,12,1,1,1,"."
1278,52,12,1,2,1,"."
1279,36,13,1,1,1,"2"
1280,40,19,3,1,1,"."
1281,25,14,2,2,1,"."
1282,52,12,1,1,1,"2"
1283,43,16,3,2,1,"."
1284,54,12,1,2,1,"2"
1285,54,11,0,1,1,"3"
1286,73,12,1,1,1,"."
1287,48,16,3,2,1,"2"
1288,60,14,1,2,1,"2"
1290,34,20,4,2,2,"3"
1291,30,14,1,1,1,"1"
1292,42,17,4,2,1,"."
1294,45,16,3,2,1,"."
1295,27,16,3,2,1,"2"
1296,70,14,1,1,2,"."
1298,34,14,2,2,2,"1"
1299,32,14,2,1,2,"."
1300,26,16,4,1,1,"."
1301,52,13,1,2,2,"1"
1302,79,12,1,2,1,"."
1303,31,12,1,1,1,"2"
1304,54,14,1,1,1,"2"
1306,72,13,1,1,1,"1"
1307,62,11,0,2,1,"."
1308,21,15,2,1,1,"."
1309,63,12,1,2,1,"2"
1310,23,11,0,2,1,"."
1311,36,16,3,1,1,"1"
1312,65,12,1,2,1,"."
1313,41,13,1,2,1,"."
1314,38,15,2,1,1,"1"
1315,21,15,1,2,1,"1"
1316,42,12,1,1,1,"."
1317,44,16,3,2,1,"2"
1319,34,15,2,2,1,"1"
1320,79,9,0,2,1,"1"
1321,35,20,4,1,1,"."
1325,20,9,1,2,1,"."
1326,48,12,1,2,1,"."
1327,47,13,1,2,1,"."
1328,72,12,1,1,1,"."
1329,21,16,1,2,1,"3"
1330,63,12,1,1,1,"1"
1331,67,12,1,2,1,"2"
1332,33,12,1,1,1,"."
1333,62,16,3,2,1,"."
1334,48,16,3,2,1,"2"
1335,41,16,3,2,1,"1"
1336,51,12,1,2,1,"."
1337,35,20,2,2,1,"."
1338,51,13,1,1,1,"."
1339,41,16,3,1,1,"."
1340,36,12,1,2,1,"2"
1341,55,16,3,1,1,"."
1342,18,11,0,1,1,"."
1343,48,13,1,2,1,"2"
1344,19,13,1,1,1,"."
1345,27,20,4,1,3,"."
1349,28,12,1,1,1,"1"
1350,71,16,3,2,1,"."
1351,42,12,1,2,2,"."
1352,67,12,1,2,1,"2"
1353,48,13,1,2,1,"."
1355,44,14,1,1,1,"2"
1356,43,12,0,1,1,"2"
1357,80,12,1,2,1,"2"
1358,78,12,1,2,1,"1"
1359,31,12,1,1,1,"."
1360,55,12,1,1,1,"2"
1361,42,12,1,1,1,"2"
1362,67,12,1,2,1,"."
1363,67,8,0,1,1,"."
1365,38,16,3,1,1,"."
1366,34,12,1,2,1,"1"
1367,47,16,3,1,1,"2"
1368,65,17,3,1,1,"1"
1369,52,15,1,1,1,"1"
1370,24,16,3,2,1,"."
1371,53,12,1,1,1,"1"
1372,27,12,1,2,1,"2"
1375,55,13,1,1,1,"2"
1376,45,16,3,2,1,"2"
